# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 920 0 0 52135 4246
p 2 12 833 75 31576 1683
p 2 5 861 54 29126 1693
p 2 3 875 42 28830 1719
p 2 0 890 30 28451 1715
p 2 1 885 34 28194 1706
p 2 1 893 26 29328 1735
p 2 4 899 17 29650 1765
p 2 1 905 14 30153 1789
p 2 1 900 19 30791 1788
p 2 5 902 13 30967 1806
p 2 3 909 8 31081 1755
p 2 1 901 18 31537 1758
p 2 4 897 19 31643 1782
p 2 3 910 7 32712 1831
p 2 2 908 10 32208 1805
p 2 4 900 16 33007 1812
p 2 1 908 11 33115 1820
p 2 1 910 9 33216 1844
p 2 6 902 12 33605 1861
p 2 4 904 12 33493 1825
p 2 4 911 5 32296 1822
p 2 2 911 7 32639 1844
p 2 3 909 8 31899 1819
p 2 2 913 5 31965 1859
p 2 2 909 9 31960 1868
p 2 4 906 10 32049 1812
p 2 1 906 13 31782 1809
p 2 2 901 17 31644 1854
p 2 0 909 11 31449 1868
p 2 3 907 10 31420 1894
p 2 4 902 14 31017 1892
p 2 2 905 13 30617 1895
p 2 1 898 21 30385 1888
p 2 0 903 17 30171 1905
p 2 4 888 28 29883 1879
p 2 3 896 21 29194 1894
p 2 3 888 29 28725 1864
p 2 1 892 27 28461 1857
p 2 2 882 36 27846 1859
p 2 1 888 31 27318 1834
p 2 4 881 35 26299 1799
p 2 5 871 44 26181 1810
p 2 1 873 46 25654 1758
p 2 0 870 50 25019 1777
p 2 5 862 53 24292 1758
p 2 5 876 39 24149 1756
p 2 5 867 48 23012 1728
p 2 4 874 42 22848 1718
p 2 1 876 43 21716 1718
p 2 1 875 44 21457 1709
p 2 3 877 40 21277 1699
p 2 2 877 41 20203 1673
p 2 6 874 40 20728 1733
p 2 5 869 46 20115 1705
p 2 4 872 44 20178 1675
p 2 4 876 40 19967 1680
p 2 3 861 56 19347 1653
p 2 3 868 49 19365 1634
p 2 2 867 51 19104 1623
p 2 0 866 54 18372 1614
