# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 1 917 2 21282 1502
p 2 6 912 2 23794 1593
p 2 5 913 2 20850 1522
p 2 5 914 1 24091 1594
p 2 4 915 1 22134 1532
p 2 3 912 5 24831 1552
p 2 3 911 6 21182 1495
p 2 2 914 4 25383 1563
p 2 6 909 5 22184 1531
p 2 8 908 4 26192 1609
p 2 3 917 0 22776 1537
p 2 1 916 3 27355 1583
p 2 7 910 3 21964 1554
p 2 1 917 2 26849 1573
p 2 1 917 2 21862 1513
i 2 920 0 0 94958 5159
p 2 0 918 2 16472 1293
p 2 0 919 1 21724 1390
p 2 0 920 0 22830 1409
p 2 0 920 0 23508 1399
p 2 0 918 2 23942 1390
p 2 0 919 1 22443 1401
p 2 0 908 12 24411 1404
p 2 0 917 3 23709 1391
p 2 0 916 4 23872 1431
p 2 0 920 0 23704 1406
p 2 0 918 2 22783 1404
p 2 0 920 0 24922 1429
p 2 0 919 1 22972 1408
p 2 0 918 2 24109 1419
p 2 0 917 3 24236 1435
p 2 0 918 2 23399 1413
p 2 0 918 2 23985 1418
p 2 0 919 1 23661 1433
p 2 0 918 2 23791 1440
p 2 0 920 0 24161 1409
p 2 0 918 2 23636 1404
p 2 0 920 0 24575 1432
p 2 0 920 0 23418 1428
p 2 0 919 1 24254 1422
p 2 0 917 3 23727 1403
p 2 0 919 1 23900 1429
p 2 0 920 0 23611 1426
p 2 0 920 0 24105 1433
p 2 0 917 3 24039 1426
p 2 0 919 1 23373 1400
p 2 0 919 1 23498 1414
p 2 0 920 0 23702 1417
p 2 0 917 3 23701 1433
p 2 0 920 0 24064 1400
p 2 0 919 1 23652 1442
p 2 0 919 1 23910 1418
p 2 0 916 4 23093 1410
p 2 0 917 3 24031 1438
p 2 0 915 5 23463 1424
p 2 0 919 1 22638 1411
p 2 0 918 2 23893 1414
p 2 0 918 2 23012 1401
p 2 0 917 3 23023 1444
p 2 0 920 0 23109 1430
