# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 57445 4149
p 2 0 878 42 20367 1342
p 2 0 889 31 23400 1396
p 2 0 860 60 23433 1380
p 2 0 863 57 23696 1416
p 2 0 881 39 24178 1423
p 2 0 887 33 24145 1432
p 2 0 872 48 24019 1405
p 2 0 876 44 24325 1434
p 2 0 881 39 24316 1433
p 2 0 872 48 24144 1437
p 2 0 876 44 24202 1429
p 2 0 882 38 24138 1454
p 2 0 875 45 24514 1437
p 2 0 883 37 24037 1450
p 2 0 877 43 23903 1440
p 2 0 877 43 23892 1456
p 2 0 891 29 24235 1470
p 2 0 880 40 24038 1471
p 2 0 876 44 23824 1468
p 2 0 880 40 23593 1452
p 2 0 871 49 23903 1436
p 2 0 881 39 23408 1460
p 2 1 878 41 23223 1455
p 2 0 875 45 22988 1469
p 2 0 873 47 23050 1460
p 2 1 887 32 22759 1467
p 2 0 885 35 22906 1452
p 2 1 874 45 22823 1457
p 2 2 874 44 22969 1469
p 2 2 875 43 22713 1459
p 2 2 876 42 22887 1480
p 2 3 872 45 22840 1463
p 2 2 878 40 22611 1479
p 2 3 869 48 22348 1465
p 2 2 881 37 22467 1482
p 2 1 881 38 22400 1485
p 2 1 886 33 22287 1481
p 2 0 877 43 21681 1455
p 2 0 875 45 21957 1472
p 2 0 879 41 21778 1469
p 2 0 881 39 21932 1461
p 2 0 884 36 21482 1477
p 2 0 886 34 21720 1475
p 2 0 882 38 21363 1470
p 2 0 880 40 21714 1463
p 2 0 874 46 21433 1466
p 2 0 879 41 21347 1466
p 2 0 884 36 21355 1486
p 2 0 880 40 21734 1474
p 2 0 878 42 21042 1473
p 2 0 873 47 21255 1468
p 2 0 882 38 21185 1491
p 2 0 882 38 21363 1474
p 2 0 879 41 20933 1486
p 2 0 877 43 21220 1477
p 2 0 870 50 21003 1458
p 2 0 889 31 21196 1478
p 2 0 883 37 20709 1488
p 2 0 884 36 20799 1489
p 2 0 875 45 20850 1474
p 2 0 881 39 20871 1488
p 2 0 883 37 20191 1482
p 2 0 889 31 20429 1496
p 2 0 887 33 20324 1499
p 2 0 876 44 20160 1492
p 2 0 890 30 20124 1504
p 2 0 893 27 20157 1512
p 2 0 884 36 20104 1503
p 2 0 885 35 20104 1494
p 2 0 887 33 20014 1503
p 2 0 881 39 19896 1485
p 2 0 893 27 19728 1497
p 2 0 881 39 19683 1486
p 2 0 881 39 19645 1496
p 2 0 886 34 19566 1491
p 2 0 877 43 19521 1493
p 2 0 888 32 19574 1514
p 2 0 889 31 19469 1523
p 2 0 877 43 19288 1501
p 2 0 887 33 19502 1526
p 2 0 891 29 19594 1532
p 2 0 892 28 19049 1510
p 2 0 876 44 19441 1512
p 2 0 875 45 19272 1510
p 2 0 885 35 19688 1500
p 2 0 884 36 19428 1494
p 2 0 877 43 19282 1497
p 2 0 877 43 19227 1507
p 2 0 890 30 19364 1509
p 2 0 896 24 19113 1525
p 2 0 881 39 18885 1501
p 2 0 875 45 18434 1490
p 2 0 897 23 18719 1512
