# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 29726 3706
p 2 16 900 4 9377 1730
p 2 4 915 1 8626 1635
p 2 12 907 1 8678 1601
p 2 12 908 0 9119 1592
p 2 9 910 1 8450 1607
p 2 10 908 2 9383 1614
p 2 12 908 0 8738 1591
p 2 8 910 2 9454 1604
p 2 10 909 1 10034 1685
p 2 1 916 3 9915 1622
p 2 1 918 1 9390 1673
p 2 2 915 3 9387 1661
p 2 3 916 1 8835 1640
p 2 10 908 2 8986 1624
p 2 6 911 3 8523 1599
p 2 2 914 4 8777 1598
p 2 1 917 2 8231 1593
p 2 0 917 3 8320 1578
p 2 0 919 1 7709 1571
p 2 0 918 2 7545 1535
p 2 2 918 0 7744 1556
p 2 1 914 5 8113 1546
p 2 3 912 5 7675 1525
p 2 1 912 7 8093 1497
p 2 3 910 7 7384 1478
p 2 2 913 5 8055 1433
p 2 1 916 3 7465 1459
p 2 1 914 5 9426 1499
p 2 10 909 1 8714 1486
p 2 11 906 3 11505 1584
p 2 8 909 3 8976 1497
p 2 11 909 0 11634 1590
p 2 10 910 0 10065 1537
p 2 17 903 0 12646 1602
p 2 20 900 0 9203 1551
p 2 8 531 381 5178 818
p 2 0 322 598 787 475
p 2 0 411 509 1037 536
p 2 0 291 629 783 430
p 2 0 257 663 674 385
p 2 0 747 173 5948 1039
p 2 2 916 2 10248 1380
p 2 5 914 1 9124 1353
p 2 2 916 2 10481 1386
p 2 1 918 1 9944 1399
p 2 4 916 0 11175 1424
p 2 2 912 6 10414 1405
p 2 9 909 2 12565 1500
p 2 2 911 7 10775 1457
p 2 8 911 1 12882 1482
p 2 2 917 1 11069 1452
p 2 6 914 0 13335 1508
p 2 2 917 1 11189 1465
p 2 7 911 2 13301 1530
p 2 1 918 1 11262 1466
p 2 5 913 2 13334 1521
p 2 1 918 1 11457 1464
p 2 2 917 1 13947 1485
p 2 2 917 1 11858 1489
p 2 4 914 2 13738 1533
p 2 1 919 0 12002 1478
p 2 6 914 0 13677 1492
p 2 8 912 0 11974 1451
p 2 1 917 2 13770 1474
p 2 1 916 3 12460 1442
p 2 6 914 0 14632 1500
p 2 2 913 5 14939 1496
p 2 3 676 241 5544 899
p 2 0 451 469 1122 589
p 2 0 464 456 1183 585
p 2 0 203 717 493 334
p 2 0 302 618 791 427
p 2 0 292 628 781 417
p 2 0 165 755 449 291
p 2 0 92 828 280 223
p 2 0 96 824 316 227
p 2 0 98 822 309 229
p 2 0 67 853 278 202
p 2 0 29 891 184 167
p 2 0 41 879 207 178
p 2 0 54 866 265 189
p 2 0 59 861 245 193
p 2 0 30 890 187 167
p 2 0 34 886 200 169
p 2 0 36 884 206 172
p 2 0 38 882 213 173
p 2 0 13 907 157 149
p 2 0 24 896 182 159
p 2 0 46 874 225 180
p 2 0 20 900 164 155
p 2 0 8 912 151 144
p 2 0 15 905 164 151
p 2 0 12 908 155 149
p 2 0 12 908 156 147
p 2 0 6 914 148 143
p 2 0 10 910 159 146
p 2 0 8 912 148 145
p 2 0 8 912 147 144
p 2 0 3 917 144 141
p 2 0 1 919 140 139
p 2 0 1 919 139 138
p 2 0 1 919 140 138
p 2 0 0 920 137 137
i 2 920 0 0 40282 4112
p 2 0 218 702 453 354
p 2 0 196 724 363 321
p 2 0 82 838 232 216
p 2 0 88 832 222 215
p 2 0 19 901 155 155
p 2 0 36 884 177 170
p 2 0 9 911 148 145
p 2 0 4 916 141 140
p 2 44 395 481 29213 1437
p 2 0 298 622 1185 462
p 2 0 148 772 458 278
p 2 12 429 479 24119 1168
p 2 0 308 612 1225 475
p 2 0 134 786 465 269
p 2 20 423 477 27761 1227
p 2 0 313 607 1286 483
p 2 0 122 798 434 255
p 2 0 45 875 242 183
p 2 0 27 893 206 164
p 2 0 29 891 187 161
p 2 0 15 905 164 152
p 2 0 19 901 179 153
p 2 0 11 909 164 148
p 2 0 30 890 228 166
p 2 0 9 911 156 146
i 2 920 0 0 29632 3778
p 2 1 917 2 9764 1466
p 2 0 918 2 10057 1405
p 2 3 914 3 11702 1483
p 2 4 916 0 11085 1469
p 2 2 917 1 11657 1471
p 2 0 919 1 11548 1460
p 2 1 916 3 11820 1445
p 2 1 917 2 11550 1469
p 2 1 918 1 12215 1456
p 2 4 915 1 11133 1452
p 2 1 917 2 11485 1433
p 2 0 918 2 13145 1468
p 2 0 920 0 13576 1451
p 2 0 919 1 12086 1409
p 2 0 918 2 13086 1438
p 2 0 920 0 11574 1401
p 2 0 919 1 12088 1418
p 2 0 918 2 12906 1407
p 2 1 918 1 12262 1408
p 2 0 920 0 12058 1391
p 2 0 920 0 13943 1411
p 2 0 918 2 12044 1364
p 2 0 916 4 12307 1374
p 2 0 919 1 13507 1385
p 2 0 919 1 12738 1394
p 2 0 920 0 12278 1358
p 2 0 920 0 12978 1386
p 2 0 919 1 12189 1342
p 2 0 920 0 13071 1365
p 2 0 919 1 12995 1333
p 2 0 920 0 12270 1323
p 2 0 918 2 12434 1315
p 2 0 915 5 13858 1357
p 2 0 913 7 12019 1308
p 2 0 915 5 12198 1312
p 2 0 916 4 12535 1301
p 2 0 917 3 11743 1305
p 2 0 917 3 11796 1298
p 2 0 917 3 12320 1319
p 2 0 913 7 11452 1270
p 2 0 907 13 11806 1265
p 2 0 913 7 12141 1273
p 2 0 907 13 11810 1268
p 2 0 910 10 11607 1272
p 2 0 901 19 12379 1258
p 2 0 896 24 11537 1219
p 2 0 895 25 11173 1236
p 2 0 899 21 12172 1219
p 2 0 888 32 11528 1195
p 2 0 873 47 11475 1179
p 2 0 826 94 11056 1120
p 2 0 797 123 8497 1068
p 2 0 670 250 4479 840
p 2 0 501 419 2929 651
p 2 0 177 743 555 306
p 2 0 228 692 675 351
p 2 0 261 659 1799 406
p 2 0 233 687 710 359
p 2 0 187 733 552 311
p 2 0 160 760 1577 306
p 2 0 50 870 268 186
p 2 0 68 852 280 199
p 2 0 114 806 1687 274
p 2 0 118 802 443 250
p 2 0 32 888 191 166
p 2 0 65 855 1299 219
p 2 0 82 838 345 214
p 2 0 68 852 281 199
p 2 0 62 858 1399 222
p 2 0 63 857 307 196
p 2 0 58 862 259 189
p 2 0 89 831 1394 236
p 2 0 45 875 245 182
p 2 0 12 908 155 148
p 2 0 67 853 1289 218
p 2 0 70 850 298 205
p 2 0 45 875 239 180
p 2 0 46 874 1231 201
p 2 0 44 876 259 180
p 2 0 48 872 235 180
p 2 0 64 856 1437 220
p 2 0 34 886 242 171
p 2 0 27 893 193 160
p 2 0 64 856 1716 228
p 2 0 40 880 259 176
p 2 0 18 902 173 152
p 2 0 51 869 1274 208
p 2 0 40 880 258 176
p 2 0 24 896 193 158
p 2 0 44 876 1351 201
p 2 0 26 894 211 162
p 2 0 24 896 175 158
p 2 0 41 879 1492 206
p 2 0 22 898 208 160
p 2 0 8 912 150 144
p 2 0 39 881 1273 194
p 2 0 24 896 220 160
p 2 0 12 908 164 148
p 2 0 34 886 1349 196
p 2 0 27 893 229 164
p 2 0 11 909 161 148
p 2 0 31 889 1261 186
p 2 0 24 896 213 161
p 2 0 13 907 162 149
p 2 0 29 891 1215 183
p 2 0 17 903 211 155
i 2 920 0 0 40902 4064
p 2 22 605 293 10068 1342
p 2 191 729 0 45295 3140
p 2 13 782 125 9778 1542
p 2 43 877 0 36884 2310
p 2 15 828 77 9428 1553
p 2 35 885 0 39383 2379
p 2 1 860 59 8355 1484
p 2 95 825 0 39154 2634
p 2 0 590 330 1691 766
p 2 47 752 121 36239 2139
p 2 0 503 417 1634 670
p 2 1 406 513 1351 600
p 2 0 315 605 708 441
p 2 0 326 594 748 452
p 2 5 206 709 1349 367
p 2 0 210 710 511 337
p 2 0 169 751 420 295
p 2 0 205 715 1067 345
p 2 0 87 833 298 220
p 2 0 112 808 364 242
p 2 1 110 809 1194 266
p 2 0 91 829 316 223
p 2 0 52 868 218 186
p 2 0 56 864 252 190
p 2 0 54 866 253 189
p 2 0 40 880 210 174
p 2 0 25 895 173 160
p 2 0 31 889 192 167
p 2 0 28 892 187 162
p 2 0 29 891 190 164
p 2 0 19 901 178 154
p 2 0 10 910 156 145
p 2 0 7 913 161 144
i 2 920 0 0 50510 3969
p 2 0 911 9 13518 1270
p 2 0 900 20 16672 1352
p 2 0 906 14 17726 1380
p 2 0 902 18 16999 1376
p 2 0 902 18 18000 1378
p 2 0 908 12 18619 1414
p 2 0 912 8 17814 1411
p 2 0 907 13 17970 1412
p 2 0 910 10 18823 1416
p 2 0 900 20 17764 1405
p 2 0 905 15 17822 1423
p 2 0 913 7 18615 1434
p 2 0 913 7 17959 1432
p 2 0 910 10 17519 1416
p 2 0 903 17 18345 1418
p 2 0 903 17 17745 1423
p 2 0 914 6 17740 1424
p 2 0 909 11 18181 1459
p 2 0 911 9 17697 1416
p 2 0 907 13 17800 1429
p 2 0 913 7 18787 1444
p 2 0 910 10 17419 1436
p 2 0 911 9 18065 1432
p 2 0 901 19 18236 1437
p 2 0 914 6 18172 1425
p 2 0 909 11 17799 1423
p 2 1 914 5 19090 1448
p 2 0 910 10 18112 1436
p 2 0 909 11 18264 1410
p 2 0 911 9 18595 1456
p 2 0 914 6 18121 1423
p 2 0 907 13 18065 1433
p 2 0 915 5 18717 1453
p 2 0 909 11 17930 1438
p 2 0 907 13 18238 1434
p 2 0 912 8 18707 1459
p 2 0 903 17 18222 1413
p 2 0 901 19 18254 1433
p 2 0 917 3 18871 1454
p 2 0 908 12 18115 1427
p 2 0 911 9 18444 1423
p 2 0 910 10 18673 1452
p 2 0 905 15 18162 1411
p 2 0 905 15 17911 1436
p 2 0 907 13 19253 1436
p 2 0 909 11 17987 1422
p 2 0 904 16 18142 1418
p 2 0 911 9 18726 1448
p 2 0 907 13 18334 1429
p 2 0 902 18 18065 1426
p 2 0 912 8 18829 1451
p 2 0 902 18 17882 1425
p 2 0 909 11 18277 1425
p 2 0 906 14 18467 1434
p 2 0 904 16 18129 1423
p 2 0 896 24 18213 1405
p 2 0 910 10 18954 1418
p 2 0 904 16 17909 1427
p 2 0 902 18 18393 1426
p 2 0 898 22 19051 1441
p 2 0 907 13 18499 1421
p 2 0 899 21 18102 1428
p 2 1 908 11 18983 1456
p 2 0 903 17 18192 1432
p 2 0 910 10 18310 1439
p 2 0 904 16 18842 1449
p 2 0 909 11 18215 1426
p 2 0 907 13 18218 1449
p 2 0 912 8 18831 1440
p 2 0 895 25 17979 1437
p 2 0 909 11 18327 1427
p 2 0 911 9 18628 1453
p 2 0 914 6 18443 1437
p 2 0 897 23 17748 1430
p 2 0 904 16 19186 1433
p 2 0 899 21 18115 1426
p 2 0 896 24 18501 1420
p 2 0 905 15 18898 1447
p 2 0 905 15 18148 1423
p 2 0 905 15 18127 1438
p 2 0 903 17 19298 1446
p 2 0 911 9 18041 1434
p 2 0 914 6 18433 1426
p 2 0 907 13 19324 1455
p 2 0 909 11 18274 1432
p 2 0 902 18 18310 1430
p 2 0 911 9 18561 1436
p 2 0 914 6 18147 1446
p 2 0 912 8 18558 1428
p 2 0 905 15 19121 1453
p 2 0 912 8 18420 1437
p 2 0 898 22 18406 1433
p 2 0 908 12 19012 1449
p 2 1 911 8 19050 1470
p 2 0 914 6 18312 1443
p 2 0 912 8 19233 1457
p 2 0 913 7 18683 1447
p 2 0 910 10 18950 1452
p 2 1 914 5 19296 1464
p 2 0 906 14 18733 1442
p 2 0 915 5 18685 1453
p 2 0 901 19 19650 1468
p 2 0 913 7 18430 1449
p 2 0 897 23 18697 1443
p 2 0 910 10 19157 1450
p 2 0 901 19 18726 1424
p 2 0 907 13 18496 1432
p 2 0 908 12 19563 1443
p 2 0 908 12 18430 1430
p 2 0 903 17 18900 1427
p 2 1 910 9 19409 1468
p 2 0 903 17 18853 1434
i 2 920 0 0 23953 3655
p 2 0 904 16 3262 1103
p 2 0 919 1 4324 1126
p 2 0 913 7 5813 1231
p 2 0 914 6 4829 1167
p 2 0 917 3 5489 1220
p 2 4 915 1 5971 1271
p 2 0 917 3 5200 1203
p 2 2 918 0 4169 1154
p 2 2 914 4 5201 1219
p 2 0 917 3 3901 1112
p 2 0 919 1 3868 1116
p 2 0 918 2 4297 1149
p 2 1 916 3 3186 1089
p 2 0 918 2 3092 1052
p 2 0 918 2 4196 1129
p 2 0 918 2 2743 1031
p 2 1 918 1 2765 1031
p 2 2 918 0 4132 1092
p 2 1 918 1 2994 1050
p 2 0 916 4 2990 1025
p 2 0 920 0 4852 1131
p 2 0 920 0 3399 1076
p 2 0 920 0 3364 1060
p 2 0 920 0 5340 1170
p 2 0 919 1 3984 1109
p 2 0 920 0 3889 1115
p 2 0 915 5 5365 1191
p 2 0 920 0 4711 1146
p 2 0 920 0 4730 1131
p 2 0 918 2 5900 1238
p 2 1 918 1 4968 1174
p 2 0 920 0 5133 1181
p 2 0 916 4 5902 1221
p 2 0 917 3 5573 1218
p 2 0 920 0 5402 1182
p 2 1 915 4 6295 1251
p 2 0 917 3 5694 1204
p 2 1 918 1 6112 1225
p 2 1 910 9 7820 1347
p 2 0 917 3 6187 1251
p 2 0 914 6 6739 1294
p 2 3 914 3 7605 1372
p 2 0 917 3 6307 1308
p 2 3 916 1 5904 1275
p 2 4 912 4 6875 1333
p 2 0 919 1 5616 1246
p 2 0 914 6 6103 1292
p 2 0 920 0 6197 1297
p 2 1 917 2 5657 1267
p 2 0 919 1 5061 1255
p 2 0 915 5 5939 1280
p 2 0 920 0 4903 1248
