# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 57840 4721
p 2 0 871 49 14058 1348
p 2 0 889 31 16107 1346
p 2 0 871 49 16415 1333
p 2 0 876 44 16737 1338
p 2 0 860 60 16900 1325
p 2 0 872 48 16720 1327
p 2 0 879 41 16369 1329
p 2 0 879 41 16672 1344
p 2 0 869 51 16676 1317
p 2 0 876 44 16958 1333
p 2 0 874 46 17105 1337
p 2 0 870 50 17001 1326
p 2 0 871 49 17126 1346
p 2 0 881 39 17124 1344
p 2 0 862 58 17319 1338
p 2 0 868 52 17220 1357
p 2 0 881 39 17409 1355
p 2 0 878 42 17194 1354
p 2 0 884 36 17278 1346
p 2 0 882 38 17222 1350
p 2 0 882 38 17269 1355
p 2 0 886 34 17530 1355
p 2 0 888 32 17205 1355
p 2 0 884 36 17208 1346
p 2 0 894 26 17113 1355
p 2 0 893 27 17114 1348
p 2 0 885 35 17594 1353
p 2 0 893 27 17666 1356
p 2 0 886 34 17323 1348
p 2 0 903 17 17255 1355
p 2 0 899 21 17111 1342
p 2 0 885 35 17359 1331
p 2 0 886 34 17209 1339
p 2 0 885 35 17298 1349
p 2 0 881 39 17181 1341
p 2 0 892 28 17433 1353
p 2 0 892 28 17499 1339
p 2 0 891 29 17644 1326
p 2 0 893 27 17456 1346
p 2 0 890 30 17403 1325
p 2 0 893 27 17203 1318
p 2 0 891 29 17569 1329
p 2 0 893 27 17291 1326
p 2 0 888 32 17298 1334
p 2 0 886 34 16986 1309
p 2 0 893 27 17558 1329
p 2 0 881 39 17128 1310
p 2 0 883 37 16974 1320
p 2 0 885 35 16722 1310
p 2 0 888 32 16809 1320
p 2 0 898 22 16902 1337
p 2 0 897 23 16481 1313
p 2 0 893 27 16461 1320
p 2 0 890 30 16328 1324
p 2 0 901 19 16264 1328
p 2 0 885 35 16483 1332
p 2 0 891 29 16024 1321
p 2 0 887 33 15884 1309
p 2 0 902 18 16059 1323
p 2 0 897 23 16401 1337
p 2 0 892 28 16319 1319
p 2 0 887 33 16025 1310
p 2 0 897 23 16308 1323
p 2 0 901 19 16438 1322
p 2 0 898 22 16660 1326
p 2 0 897 23 16628 1326
p 2 0 892 28 16714 1328
p 2 0 899 21 16564 1333
p 2 0 901 19 16999 1340
p 2 1 894 25 16726 1331
p 2 0 897 23 16314 1327
p 2 0 895 25 16121 1317
p 2 0 906 14 16352 1327
p 2 0 904 16 16450 1333
p 2 0 899 21 16207 1318
p 2 0 899 21 15922 1324
p 2 0 900 20 16181 1324
p 2 0 901 19 16463 1333
p 2 0 902 18 16278 1318
p 2 0 903 17 15949 1336
p 2 0 904 16 15979 1343
p 2 0 909 11 16224 1358
p 2 0 899 21 16319 1331
p 2 0 903 17 15835 1341
p 2 0 901 19 15682 1332
p 2 0 901 19 15809 1345
p 2 0 908 12 16048 1346
p 2 0 902 18 15710 1330
p 2 0 904 16 15503 1341
p 2 0 902 18 15081 1324
p 2 0 904 16 15136 1323
p 2 0 906 14 15160 1327
p 2 0 899 21 14927 1337
p 2 0 902 18 14541 1327
i 2 920 0 0 120748 5546
p 2 0 898 22 47026 1465
p 2 0 908 12 55785 1522
p 2 0 881 39 55039 1488
p 2 0 878 42 56679 1490
p 2 0 881 39 56327 1500
p 2 0 869 51 57091 1501
p 2 0 882 38 56510 1501
p 2 0 870 50 57085 1499
p 2 0 894 26 56954 1530
p 2 0 875 45 57640 1512
p 2 0 872 48 57030 1499
p 2 0 877 43 57619 1515
p 2 0 881 39 57501 1526
p 2 0 889 31 57826 1526
p 2 0 898 22 57393 1537
p 2 0 884 36 57378 1514
