# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 18341 3122
p 2 0 741 179 4739 924
p 2 0 841 79 5755 988
p 2 0 680 240 5832 863
p 2 0 763 157 6031 931
p 2 0 704 216 6210 894
p 2 0 753 167 6030 922
p 2 0 700 220 6046 880
p 2 0 688 232 6061 874
p 2 0 674 246 6198 873
p 2 0 731 189 6167 916
p 2 0 726 194 6149 912
p 2 0 644 276 6078 852
p 2 0 700 220 6212 891
p 2 0 718 202 6081 901
p 2 0 678 242 6119 882
p 2 0 683 237 6039 887
p 2 0 699 221 6061 888
p 2 0 711 209 5907 883
p 2 0 678 242 6101 880
p 2 0 720 200 5919 903
p 2 0 711 209 6135 917
p 2 0 722 198 5995 903
p 2 0 680 240 6155 886
p 2 0 734 186 6031 921
p 2 0 709 211 6311 917
p 2 0 717 203 5962 898
p 2 0 716 204 6070 912
p 2 0 714 206 6005 897
p 2 0 640 280 6112 854
p 2 0 687 233 5957 868
p 2 0 713 207 6065 898
p 2 0 732 188 5995 903
p 2 0 723 197 6179 911
p 2 0 730 190 6195 904
p 2 0 695 225 6126 886
p 2 0 720 200 6199 896
p 2 0 697 223 6276 883
p 2 0 736 184 6259 926
p 2 0 722 198 6273 923
p 2 0 706 214 6185 898
p 2 0 639 281 6400 865
p 2 0 748 172 6329 926
p 2 0 699 221 6307 896
p 2 0 752 168 6421 941
p 2 0 694 226 6455 897
p 2 0 720 200 6388 921
p 2 0 745 175 6543 943
p 2 0 748 172 6432 948
p 2 0 733 187 6542 941
p 2 0 731 189 6440 929
p 2 0 708 212 6362 916
p 2 0 763 157 6426 952
p 2 0 757 163 6436 950
p 2 0 742 178 6320 934
p 2 0 731 189 6342 933
p 2 0 756 164 6352 956
p 2 0 728 192 6374 941
p 2 0 734 186 6381 957
p 2 0 788 132 6493 982
p 2 0 757 163 6448 967
p 2 0 757 163 6570 967
p 2 0 758 162 6474 969
p 2 0 745 175 6484 955
p 2 0 730 190 6412 950
p 2 0 775 145 6685 991
p 2 0 737 183 6402 955
p 2 0 787 133 6641 984
p 2 0 733 187 6463 954
p 2 0 754 166 6647 981
p 2 0 727 193 6583 958
p 2 0 755 165 6773 993
p 2 0 778 142 6706 1006
p 2 0 696 224 6758 941
p 2 0 747 173 6702 969
p 2 0 690 230 6655 940
p 2 0 741 179 6687 967
p 2 0 714 206 6785 957
p 2 0 719 201 6525 954
p 2 0 710 210 6735 949
p 2 0 755 165 6540 967
p 2 0 735 185 6561 956
p 2 0 771 149 6515 981
p 2 0 779 141 6594 986
p 2 0 761 159 6502 967
p 2 0 761 159 6709 981
p 2 0 747 173 6606 983
p 2 0 746 174 6537 974
p 2 0 757 163 6660 989
p 2 0 773 147 6780 1019
p 2 0 744 176 6700 996
p 2 0 764 156 6725 1009
p 2 0 739 181 6572 978
p 2 0 778 142 6869 1016
p 2 0 707 213 6716 973
p 2 0 769 151 6677 993
p 2 0 703 217 6620 943
p 2 0 740 180 6871 989
p 2 0 764 156 6699 996
p 2 0 777 143 6682 1007
p 2 0 743 177 6800 1007
p 2 0 724 196 6812 983
p 2 0 766 154 6957 1026
p 2 0 759 161 6764 1015
p 2 0 745 175 6822 1006
p 2 0 737 183 6829 997
p 2 0 808 112 6896 1057
p 2 0 748 172 6967 1020
p 2 0 746 174 6970 1016
p 2 0 714 206 6896 987
p 2 0 707 213 6906 976
p 2 0 719 201 6792 980
p 2 0 712 208 6674 967
p 2 0 720 200 6847 980
p 2 0 806 114 6899 1047
p 2 0 764 156 6857 1002
p 2 0 778 142 6756 1015
p 2 0 760 160 6873 1000
p 2 0 767 153 6729 1004
p 2 0 773 147 6758 1015
p 2 0 749 171 6641 995
p 2 0 771 149 6881 1009
p 2 0 783 137 6844 1023
p 2 0 731 189 6852 1000
p 2 0 718 202 6659 977
p 2 0 773 147 6810 1017
p 2 0 744 176 6755 1002
p 2 0 794 126 6830 1046
p 2 0 715 205 6714 983
p 2 0 738 182 6808 1007
p 2 0 734 186 6850 1000
p 2 0 726 194 6701 993
p 2 0 711 209 6694 981
p 2 0 731 189 6748 1013
p 2 0 749 171 6782 1012
p 2 0 731 189 6730 996
p 2 0 725 195 6645 989
p 2 0 711 209 6774 987
p 2 0 739 181 6745 1020
p 2 0 713 207 6710 995
p 2 0 758 162 6761 1047
p 2 0 718 202 6683 1014
p 2 0 731 189 6739 1028
p 2 0 785 135 6806 1050
p 2 0 740 180 6812 1024
p 2 0 726 194 6805 1017
p 2 0 775 145 6883 1072
p 2 0 792 128 6717 1059
p 2 0 744 176 6738 1030
p 2 0 751 169 6955 1033
p 2 0 737 183 7089 1033
p 2 0 752 168 6839 1036
p 2 0 755 165 6828 1025
p 2 0 784 136 6886 1060
p 2 0 777 143 6891 1048
p 2 0 738 182 6902 1030
p 2 0 768 152 6938 1055
p 2 0 758 162 6698 1037
p 2 0 759 161 6964 1051
p 2 0 716 204 6699 1000
p 2 0 753 167 6849 1049
p 2 0 760 160 6967 1045
p 2 0 748 172 6886 1052
p 2 0 703 217 6914 1018
p 2 0 756 164 6830 1049
p 2 0 733 187 6876 1025
p 2 0 775 145 7120 1058
i 2 920 0 0 56105 4435
p 2 0 897 23 16684 1295
p 2 0 904 16 18439 1306
p 2 0 887 33 18649 1317
p 2 0 904 16 18789 1327
p 2 0 901 19 18616 1316
p 2 0 901 19 18894 1333
p 2 0 898 22 18570 1314
p 2 0 904 16 18704 1330
p 2 0 905 15 18745 1339
p 2 0 904 16 19001 1345
p 2 2 901 17 19783 1353
p 2 0 900 20 19643 1344
p 2 0 893 27 19467 1352
p 2 0 900 20 19948 1366
p 2 0 903 17 19214 1366
p 2 0 899 21 19333 1347
p 2 0 898 22 19756 1341
p 2 0 897 23 19200 1338
p 2 0 897 23 19333 1336
p 2 1 896 23 19741 1353
p 2 0 898 22 19424 1341
p 2 0 906 14 20071 1352
p 2 2 905 13 20543 1364
p 2 0 908 12 20265 1375
p 2 0 906 14 19957 1352
p 2 0 900 20 20220 1377
p 2 0 893 27 19597 1325
p 2 0 905 15 20059 1346
p 2 0 895 25 20103 1344
p 2 0 892 28 19901 1351
p 2 0 893 27 20221 1350
p 2 1 903 16 21183 1392
p 2 0 897 23 21039 1370
p 2 0 900 20 21258 1372
p 2 2 898 20 21674 1391
p 2 0 903 17 21297 1371
p 2 0 891 29 20958 1362
p 2 0 895 25 21380 1376
p 2 0 884 36 20737 1356
p 2 0 882 38 20966 1357
p 2 0 886 34 21645 1366
p 2 0 906 14 21455 1378
p 2 0 901 19 21979 1381
p 2 2 906 12 22590 1403
p 2 0 896 24 22427 1385
p 2 0 896 24 22506 1389
p 2 2 893 25 22920 1403
p 2 0 895 25 22367 1388
p 2 0 895 25 22190 1375
p 2 0 894 26 22376 1392
p 2 0 892 28 22191 1390
p 2 0 895 25 22178 1395
p 2 0 895 25 22809 1397
p 2 0 907 13 22491 1399
p 2 0 898 22 22837 1391
p 2 2 898 20 23144 1417
p 2 0 895 25 22513 1399
p 2 0 900 20 22386 1397
p 2 1 896 23 22669 1389
p 2 0 897 23 22143 1380
p 2 0 894 26 21940 1371
p 2 0 897 23 22432 1397
p 2 0 890 30 22391 1390
p 2 0 907 13 22568 1400
p 2 2 890 28 22582 1387
p 2 0 903 17 22721 1386
