# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 47675 4714
p 2 9 873 38 22927 1663
p 2 2 896 22 17897 1547
p 2 1 903 16 15152 1515
p 2 2 894 24 13144 1464
p 2 2 898 20 13966 1476
p 2 0 907 13 14724 1510
p 2 1 893 26 13440 1482
p 2 1 905 14 12575 1444
p 2 1 896 23 11737 1416
p 2 0 914 6 12616 1469
p 2 3 911 6 13677 1483
p 2 1 911 8 14364 1480
p 2 0 914 6 13631 1420
p 2 2 908 10 14307 1429
p 2 0 910 10 15956 1463
p 2 0 908 12 16951 1461
p 2 0 914 6 17445 1420
p 2 0 914 6 14567 1468
p 2 1 882 37 15454 1451
p 2 0 906 14 16752 1475
p 2 0 891 29 15881 1420
p 2 0 912 8 14857 1403
p 2 1 912 7 18195 1450
p 2 0 896 24 19433 1479
p 2 0 857 63 14997 1401
p 2 0 895 25 17374 1396
p 2 0 847 73 20016 1427
p 2 0 907 13 15876 1400
p 2 31 822 67 44859 2085
p 2 4 894 22 21100 1552
p 2 17 801 102 38464 1905
p 2 0 908 12 20741 1512
p 2 9 830 81 39791 1862
p 2 0 860 60 19354 1435
p 2 20 806 94 31895 1739
p 2 0 887 33 15572 1389
p 2 5 843 72 32595 1738
p 2 0 869 51 14278 1327
p 2 1 805 114 13889 1216
p 2 0 816 104 16719 1269
p 2 3 470 447 4324 698
p 2 0 229 691 649 395
p 2 0 151 769 2268 340
p 2 0 187 733 1195 372
p 2 0 78 842 2180 282
p 2 0 76 844 408 265
p 2 0 73 847 3009 282
p 2 0 157 763 677 347
p 2 0 88 832 2171 287
p 2 0 101 819 1070 292
p 2 0 67 853 2179 273
p 2 0 78 842 442 270
p 2 1 73 846 2927 289
p 2 0 35 885 318 228
p 2 0 39 881 2112 244
p 2 0 51 869 1205 252
p 2 0 50 870 2116 255
p 2 0 30 890 330 224
p 2 0 46 874 2787 263
p 2 0 26 894 281 218
p 2 0 44 876 2108 250
p 2 3 29 888 1170 252
p 2 0 38 882 2115 245
p 2 0 29 891 304 223
p 2 0 49 871 2738 262
p 2 0 31 889 316 226
p 2 0 30 890 2124 239
p 2 0 28 892 1104 228
p 2 0 38 882 2103 245
p 2 0 21 899 279 216
p 2 0 35 885 2112 241
p 2 0 25 895 277 220
p 2 0 28 892 2073 237
p 2 0 17 903 274 213
p 2 0 29 891 2112 238
p 2 0 20 900 254 214
p 2 0 42 878 2689 257
p 2 0 26 894 295 223
p 2 2 36 882 2727 263
p 2 0 20 900 276 214
i 2 920 0 0 16438 3659
p 2 42 857 21 6468 1593
p 2 18 884 18 8701 1872
p 2 89 809 22 8011 1959
p 2 113 774 33 11023 2486
p 2 79 811 30 8223 2082
p 2 51 839 30 8685 2273
p 2 17 855 48 6669 1768
p 2 21 846 53 9045 2123
p 2 3 866 51 5247 1578
p 2 27 864 29 8397 2162
p 2 0 879 41 3564 1409
p 2 53 836 31 8971 2314
p 2 1 868 51 6375 1629
p 2 39 852 29 7800 2157
p 2 1 872 47 4653 1453
p 2 43 849 28 7289 2061
p 2 0 874 46 3620 1382
p 2 22 868 30 7281 2012
p 2 0 899 21 4453 1408
p 2 76 808 36 7602 2156
p 2 5 891 24 5747 1524
p 2 30 859 31 7864 2039
p 2 0 886 34 3769 1391
p 2 30 847 43 7938 1958
p 2 0 872 48 2417 1124
p 2 33 846 41 8342 1968
p 2 0 860 60 3044 1191
p 2 80 810 30 8831 2161
p 2 0 881 39 2918 1170
p 2 38 852 30 7936 2037
p 2 0 873 47 2631 1145
p 2 26 856 38 7772 1875
p 2 0 884 36 3940 1365
p 2 32 840 48 7687 1941
p 2 0 892 28 3508 1184
p 2 66 822 32 8856 2173
p 2 0 882 38 2349 1115
p 2 140 759 21 8268 2289
p 2 6 893 21 6215 1658
p 2 208 693 19 8701 2654
p 2 0 895 25 5507 1699
i 2 920 0 0 8991 3322
p 2 0 909 11 3078 1234
p 2 314 594 12 9107 3128
p 2 10 877 33 5639 1671
p 2 268 644 8 8239 2864
p 2 1 857 62 3140 1435
p 2 140 751 29 6811 2383
p 2 24 799 97 5077 1748
p 2 93 814 13 6103 2256
p 2 2 852 66 4319 1581
p 2 1 895 24 3467 1436
p 2 104 760 56 5998 2116
p 2 1 849 70 2947 1282
p 2 0 851 69 2728 1233
p 2 170 718 32 6503 2390
p 2 0 792 128 3298 1331
p 2 0 853 67 2477 1164
p 2 168 704 48 6648 2394
p 2 287 612 21 7146 2783
p 2 10 883 27 5997 1993
p 2 268 649 3 8321 3070
p 2 5 907 8 5354 1946
p 2 128 792 0 6291 2423
p 2 10 902 8 4624 1962
p 2 60 854 6 5383 2247
p 2 3 910 7 4418 1826
p 2 161 757 2 6292 2451
p 2 2 912 6 5005 1772
p 2 75 844 1 5731 2278
p 2 27 889 4 4785 1842
p 2 49 863 8 4826 2083
p 2 0 911 9 3930 1643
i 2 920 0 0 4287 2842
p 2 16 904 0 8188 1796
p 2 312 608 0 8026 2989
p 2 11 908 1 6107 2037
p 2 277 643 0 7601 2889
p 2 6 913 1 5706 1793
p 2 282 637 1 7873 2709
p 2 1 919 0 5313 1767
p 2 87 832 1 7167 2353
p 2 2 917 1 5019 1696
p 2 124 795 1 5911 2383
p 2 0 919 1 4168 1776
p 2 129 789 2 6315 2294
p 2 6 911 3 4952 1945
p 2 304 616 0 6228 2652
p 2 2 910 8 4615 1777
p 2 127 790 3 6110 2375
p 2 2 912 6 4426 1747
p 2 125 795 0 7438 2281
p 2 14 905 1 5868 2059
p 2 184 736 0 6873 2399
p 2 1 915 4 4630 1775
p 2 199 721 0 6788 2389
p 2 1 918 1 4383 1620
p 2 49 870 1 6497 2220
p 2 1 918 1 4631 1747
p 2 51 867 2 5691 2110
p 2 1 915 4 4201 1794
p 2 21 897 2 5261 2050
p 2 0 904 16 3748 1554
p 2 208 712 0 6471 2436
p 2 1 918 1 5214 1871
p 2 260 660 0 5925 2578
p 2 0 916 4 4445 1663
p 2 250 670 0 11116 2435
p 2 47 873 0 7406 2058
p 2 82 837 1 6313 2056
p 2 36 884 0 5514 1843
p 2 19 901 0 4810 1761
p 2 7 910 3 4490 1685
p 2 100 820 0 6476 2025
p 2 49 871 0 6369 1970
p 2 27 893 0 5331 1867
p 2 4 906 10 5181 1783
p 2 22 897 1 4440 1703
p 2 58 855 7 4911 1835
p 2 32 888 0 8998 1928
p 2 11 909 0 7229 1873
p 2 14 906 0 8005 1905
p 2 44 876 0 6525 2030
p 2 33 886 1 5789 1898
p 2 37 880 3 5838 1910
p 2 42 876 2 5406 1876
p 2 39 876 5 5896 1959
p 2 22 896 2 4552 1779
p 2 25 888 7 4879 1778
p 2 83 837 0 6878 2061
p 2 63 857 0 8302 2083
p 2 41 879 0 6183 1928
p 2 25 895 0 6958 1824
p 2 45 875 0 6225 1961
p 2 30 888 2 5610 1841
p 2 47 872 1 5047 1825
