# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 12886 3578
p 2 0 663 257 1133 806
p 2 0 679 241 990 790
p 2 0 436 484 813 563
p 2 0 487 433 895 626
p 2 0 322 598 803 487
p 2 0 414 506 863 558
p 2 0 269 651 728 424
p 2 0 379 541 987 551
p 2 0 368 552 983 537
p 2 0 383 537 1046 550
p 2 0 422 498 1017 580
p 2 0 405 515 1017 560
p 2 0 412 508 1053 591
p 2 0 417 503 1110 588
p 2 0 411 509 1085 600
p 2 0 428 492 1099 593
p 2 0 408 512 1106 593
p 2 0 424 496 1197 616
p 2 0 437 483 1180 631
p 2 0 380 540 1022 542
p 2 0 352 568 973 528
p 2 0 408 512 1157 597
p 2 0 456 464 1200 634
p 2 0 435 485 1208 619
p 2 0 454 466 1132 626
p 2 0 388 532 976 543
p 2 0 448 472 1222 629
p 2 0 414 506 1275 611
p 2 0 475 445 1255 658
p 2 0 433 487 1165 614
p 2 0 329 591 903 501
p 2 0 456 464 1211 627
p 2 0 403 517 1197 596
p 2 0 440 480 1278 628
p 2 0 375 545 1006 555
p 2 0 367 553 983 519
p 2 0 384 536 1058 565
p 2 0 409 511 1205 588
p 2 0 350 570 1098 541
p 2 0 429 491 1198 604
p 2 0 300 620 810 460
p 2 0 377 543 1127 550
p 2 0 387 533 1113 562
p 2 0 397 523 1215 577
p 2 0 341 579 1039 519
p 2 0 402 518 1229 574
p 2 0 351 569 1103 536
p 2 0 437 483 1355 615
p 2 0 396 524 1168 589
p 2 0 345 575 1175 515
p 2 0 370 550 1152 554
p 2 0 431 489 1307 597
p 2 0 400 520 1212 586
p 2 0 369 551 1202 528
p 2 0 400 520 1230 582
p 2 0 380 540 1333 550
p 2 0 390 530 1332 584
p 2 0 342 578 1289 516
p 2 0 379 541 1263 558
p 2 0 469 451 1559 638
p 2 0 458 462 1419 634
p 2 0 487 433 1624 637
p 2 0 365 555 1439 558
p 2 0 439 481 1641 605
