# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 49796 4068
p 2 0 889 31 10566 1218
p 2 0 902 18 13567 1260
p 2 0 903 17 13789 1291
p 2 0 905 15 14504 1299
p 2 0 905 15 14558 1306
p 2 0 913 7 14695 1333
p 2 0 903 17 14540 1301
p 2 0 912 8 14834 1340
p 2 0 906 14 14965 1337
p 2 0 904 16 14874 1334
p 2 0 901 19 14815 1313
p 2 0 901 19 15001 1334
p 2 0 900 20 14910 1315
p 2 0 901 19 14797 1338
p 2 0 912 8 14947 1336
p 2 0 901 19 14829 1324
p 2 0 904 16 15271 1344
p 2 0 907 13 14872 1346
p 2 0 910 10 14986 1325
p 2 0 906 14 15083 1352
p 2 0 903 17 15125 1312
p 2 0 907 13 15032 1339
p 2 0 906 14 14958 1340
p 2 0 905 15 14847 1328
p 2 0 909 11 14730 1324
p 2 0 906 14 15193 1326
p 2 0 907 13 14904 1324
p 2 0 910 10 14926 1333
p 2 0 904 16 14864 1324
p 2 0 904 16 14908 1322
p 2 0 907 13 14786 1328
p 2 0 905 15 14919 1328
p 2 0 905 15 14856 1324
p 2 0 905 15 15046 1319
p 2 0 908 12 14867 1343
p 2 0 906 14 14906 1320
p 2 0 899 21 14884 1322
p 2 0 907 13 15026 1339
p 2 0 909 11 14985 1348
p 2 0 906 14 14881 1333
p 2 0 900 20 14853 1325
p 2 0 908 12 15191 1342
p 2 0 908 12 15105 1364
p 2 0 907 13 15008 1338
p 2 0 903 17 15048 1343
p 2 0 910 10 15253 1351
p 2 0 907 13 14923 1353
p 2 0 903 17 14997 1333
p 2 0 906 14 15150 1344
p 2 0 912 8 15405 1361
p 2 0 911 9 15016 1363
p 2 0 907 13 15303 1365
p 2 0 901 19 15084 1351
p 2 0 906 14 15341 1352
p 2 0 905 15 15210 1346
p 2 0 908 12 15327 1349
p 2 0 904 16 15222 1353
p 2 0 914 6 15362 1354
p 2 0 906 14 15206 1361
p 2 0 905 15 15146 1345
p 2 0 908 12 15207 1345
p 2 0 909 11 15385 1359
p 2 0 903 17 15218 1344
p 2 0 910 10 15093 1369
p 2 0 906 14 15268 1349
p 2 0 905 15 15365 1345
p 2 0 904 16 15247 1367
p 2 0 903 17 15119 1355
p 2 0 908 12 15308 1367
p 2 0 906 14 15292 1361
i 2 920 0 0 29854 4034
p 2 2 888 30 4407 1091
p 2 2 917 1 8135 1209
p 2 5 912 3 8285 1287
p 2 9 911 0 9184 1272
p 2 5 915 0 10406 1287
p 2 5 915 0 11435 1337
p 2 10 910 0 11987 1361
p 2 4 916 0 12513 1361
p 2 8 912 0 12824 1350
p 2 3 916 1 13656 1393
p 2 4 916 0 13281 1386
p 2 10 909 1 13921 1408
p 2 11 909 0 14250 1373
p 2 6 914 0 14916 1421
p 2 8 912 0 14169 1401
p 2 11 909 0 14822 1390
p 2 7 913 0 15280 1396
p 2 14 906 0 15776 1409
p 2 10 910 0 16541 1392
p 2 15 905 0 18093 1471
p 2 17 902 1 17873 1481
p 2 14 906 0 18324 1458
p 2 8 912 0 15464 1400
p 2 5 915 0 15197 1304
p 2 4 916 0 12226 1293
p 2 14 906 0 9403 1307
p 2 15 905 0 8867 1321
p 2 14 906 0 12030 1332
p 2 14 906 0 19468 1363
p 2 9 910 1 20592 1370
p 2 10 910 0 21378 1360
p 2 11 909 0 21490 1403
p 2 10 910 0 21018 1394
p 2 5 915 0 21366 1409
p 2 10 910 0 23879 1416
p 2 13 907 0 24143 1421
p 2 8 912 0 17818 1288
p 2 7 913 0 14071 1170
p 2 4 916 0 7273 1090
p 2 7 913 0 6978 1074
p 2 10 910 0 20025 1295
p 2 21 899 0 21704 1390
p 2 16 904 0 23668 1438
p 2 25 895 0 23307 1475
p 2 17 903 0 25596 1463
p 2 13 907 0 19754 1424
p 2 18 902 0 25332 1493
p 2 0 697 223 3348 863
p 2 0 246 674 828 369
p 2 0 84 836 321 213
p 2 0 174 746 579 298
p 2 0 61 859 286 191
p 2 0 39 881 263 173
p 2 0 67 853 325 200
p 2 0 56 864 295 188
p 2 0 47 873 291 181
p 2 0 13 907 194 149
p 2 0 12 908 202 148
p 2 0 25 895 238 160
p 2 0 11 909 210 147
p 2 0 21 899 231 158
p 2 0 6 914 181 142
p 2 0 8 912 188 144
p 2 0 8 912 187 144
p 2 0 10 910 193 146
p 2 0 20 900 213 153
p 2 0 12 908 206 147
p 2 0 11 909 206 148
p 2 0 7 913 187 144
p 2 0 7 913 186 144
p 2 0 12 908 199 147
p 2 0 10 910 191 146
p 2 0 22 898 220 157
p 2 0 12 908 214 148
p 2 0 7 913 189 143
p 2 0 3 917 192 140
p 2 0 4 916 181 141
p 2 0 4 916 182 141
p 2 0 8 912 192 145
p 2 0 6 914 194 142
p 2 0 8 912 185 144
p 2 0 2 918 179 139
i 2 920 0 0 44468 4287
p 2 0 559 361 2863 803
p 2 61 796 63 27876 2165
p 2 0 806 114 14826 1244
p 2 44 846 30 26069 2085
p 2 0 734 186 4039 1049
p 2 47 855 18 28795 2145
p 2 0 760 160 4093 1044
p 2 32 841 47 28223 2104
p 2 0 811 109 14114 1245
p 2 49 822 49 27030 2108
p 2 0 736 184 4144 1084
p 2 51 838 31 32895 2178
p 2 0 762 158 4140 1060
p 2 34 849 37 28053 2122
p 2 0 805 115 10740 1208
p 2 40 850 30 26306 2116
p 2 0 746 174 3983 1048
p 2 59 842 19 29390 2149
p 2 0 752 168 4026 1081
p 2 42 839 39 27980 2119
p 2 1 824 95 14862 1292
p 2 45 842 33 27703 2115
p 2 0 745 175 3858 1074
p 2 52 848 20 30483 2120
p 2 0 760 160 4044 1052
p 2 35 841 44 27748 2145
p 2 0 825 95 13768 1258
p 2 42 843 35 25653 2087
p 2 0 726 194 4015 1069
p 2 53 846 21 29527 2146
p 2 0 740 180 4096 1058
p 2 40 841 39 27510 2130
p 2 0 824 96 10147 1213
p 2 33 862 25 27526 2078
p 2 0 749 171 4084 1068
p 2 53 857 10 31307 2156
p 2 0 765 155 4274 1094
p 2 28 855 37 27561 2094
p 2 0 801 119 15617 1291
p 2 41 841 38 25860 2102
p 2 1 759 160 4203 1090
p 2 40 865 15 27613 2127
p 2 0 748 172 4039 1055
p 2 31 855 34 27812 2087
p 2 0 826 94 13691 1242
p 2 41 852 27 26816 2107
p 2 0 760 160 3941 1032
p 2 57 854 9 32280 2188
p 2 0 776 144 3959 1111
p 2 26 853 41 27460 2101
p 2 0 818 102 9803 1190
p 2 33 859 28 25457 2064
p 2 0 739 181 3866 1060
p 2 52 861 7 28365 2149
p 2 0 779 141 3894 1053
p 2 59 849 12 42015 2412
p 2 0 823 97 14841 1350
p 2 42 861 17 41078 2235
p 2 0 779 141 3732 1105
p 2 63 844 13 40569 2303
p 2 0 771 149 3627 1090
p 2 34 841 45 25747 2085
p 2 0 813 107 14469 1330
p 2 34 861 25 24043 2080
p 2 0 773 147 3738 1051
p 2 48 856 16 28082 2112
p 2 0 781 139 4003 1100
p 2 34 850 36 26389 2113
p 2 1 813 106 9907 1229
p 2 39 859 22 25853 2090
p 2 0 766 154 3904 1080
p 2 45 855 20 29911 2082
p 2 0 801 119 4014 1129
p 2 21 864 35 26210 2049
p 2 0 852 68 13400 1290
p 2 37 853 30 25262 2108
p 2 0 728 192 4045 1061
p 2 38 862 20 27170 2074
p 2 0 743 177 4003 1040
p 2 34 826 60 25806 2049
p 2 0 809 111 13532 1227
p 2 40 852 28 25903 2096
p 2 0 737 183 3872 1065
p 2 51 834 35 30115 2091
p 2 0 754 166 4022 1032
p 2 35 828 57 26414 2073
p 2 1 827 92 9918 1253
p 2 33 843 44 25107 2088
p 2 0 712 208 3964 1045
p 2 41 846 33 28260 2084
p 2 0 758 162 4366 1056
p 2 30 827 63 26173 2092
p 2 0 816 104 13043 1291
p 2 36 850 34 27179 2131
i 2 920 0 0 8806 3245
p 2 40 838 42 4014 1236
p 2 90 817 13 6416 1369
p 2 150 708 62 12178 1595
p 2 137 725 58 16794 1721
p 2 21 864 35 15630 1401
p 2 0 686 234 2110 899
p 2 0 622 298 1791 775
p 2 0 645 275 1890 805
p 2 0 614 306 1805 757
p 2 0 652 268 1858 777
p 2 0 605 315 1806 754
p 2 0 640 280 1887 786
