# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 920 0 0 66374 4899
p 2 4 911 5 15197 1445
p 2 7 910 3 18615 1510
p 2 9 905 6 18244 1525
p 2 2 911 7 19227 1507
p 2 2 916 2 19290 1542
p 2 2 914 4 19196 1529
p 2 4 914 2 19117 1533
p 2 2 916 2 19967 1556
p 2 8 912 0 19533 1564
p 2 8 912 0 19878 1545
p 2 5 913 2 20235 1579
p 2 5 915 0 20067 1538
p 2 4 912 4 20697 1543
p 2 5 915 0 20407 1537
p 2 8 911 1 20513 1566
p 2 6 914 0 20230 1539
p 2 3 917 0 20342 1547
p 2 4 916 0 20563 1562
p 2 7 913 0 20731 1595
p 2 9 910 1 20627 1589
p 2 7 912 1 21048 1581
p 2 9 910 1 20852 1539
p 2 11 904 5 21092 1610
p 2 10 906 4 20962 1575
p 2 7 908 5 21128 1565
p 2 4 913 3 20739 1578
p 2 7 911 2 20844 1602
p 2 4 914 2 20658 1571
p 2 9 911 0 20798 1577
p 2 5 913 2 20462 1566
p 2 9 911 0 20977 1595
p 2 9 911 0 20113 1609
p 2 6 913 1 20042 1593
p 2 4 914 2 19572 1583
p 2 7 909 4 19574 1603
p 2 6 914 0 19911 1585
p 2 4 914 2 19847 1573
p 2 7 913 0 19585 1575
p 2 11 907 2 19958 1639
p 2 11 907 2 19826 1620
p 2 4 915 1 20128 1611
p 2 11 908 1 19394 1566
p 2 5 915 0 19840 1577
p 2 4 916 0 18979 1554
p 2 8 912 0 19399 1589
p 2 6 913 1 19230 1593
p 2 12 907 1 19982 1600
p 2 6 913 1 19814 1604
p 2 7 912 1 19574 1618
p 2 4 915 1 19215 1605
p 2 9 911 0 19281 1622
p 2 6 914 0 19353 1604
p 2 3 914 3 19600 1605
p 2 8 911 1 19400 1566
p 2 11 909 0 19490 1621
p 2 7 913 0 19207 1575
p 2 12 908 0 19752 1631
p 2 21 899 0 20330 1651
p 2 12 907 1 20887 1665
p 2 9 911 0 21776 1625
p 2 10 908 2 21633 1624
p 2 11 907 2 21959 1637
p 2 10 908 2 22963 1667
p 2 12 904 4 22405 1653
p 2 15 904 1 23110 1718
p 2 13 907 0 22698 1654
p 2 25 895 0 22574 1722
p 2 14 906 0 22314 1716
p 2 16 904 0 23056 1714
p 2 15 905 0 21811 1697
p 2 10 910 0 21449 1673
p 2 6 914 0 21634 1642
p 2 8 912 0 20879 1669
p 2 7 913 0 20440 1646
p 2 5 915 0 21170 1661
p 2 6 914 0 19928 1644
p 2 4 916 0 11290 1441
p 2 0 593 327 5752 847
p 2 0 221 699 2542 443
p 2 0 272 648 2884 485
p 2 0 303 617 4164 534
p 2 0 222 698 2877 438
p 2 0 126 794 2454 360
