# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

p 2 0 335 585 1228 552
p 2 0 107 813 451 305
p 2 15 467 438 21415 1255
p 2 0 333 587 1281 538
p 2 0 147 773 552 335
p 2 19 463 438 22084 1250
p 2 0 308 612 1249 523
p 2 0 96 824 391 286
p 2 73 433 414 27243 1629
p 2 0 300 620 1205 517
p 2 0 107 813 411 295
p 2 11 458 451 22357 1284
p 2 0 344 576 1330 560
p 2 0 168 752 581 353
p 2 2 484 434 23481 1242
p 2 0 337 583 1386 552
p 2 0 139 781 484 331
p 2 44 450 426 27707 1544
p 2 0 318 602 1276 543
p 2 0 101 819 407 294
p 2 63 430 427 27365 1630
p 2 0 327 593 1324 552
p 2 0 147 773 522 335
p 2 15 460 445 21491 1252
p 2 0 310 610 1243 529
p 2 0 121 799 457 309
p 2 19 437 464 22502 1233
p 2 0 295 625 1164 514
p 2 0 95 825 407 288
p 2 0 44 876 272 237
p 2 0 16 904 229 212
i 2 920 0 0 29985 4141
p 2 0 592 328 1300 802
p 2 0 559 361 1431 760
p 2 16 543 361 10874 1030
p 2 0 549 371 1899 790
p 2 0 443 477 1569 672
p 2 4 576 340 10527 1013
p 2 0 446 474 1917 711
p 2 0 469 451 1804 705
p 2 3 536 381 11446 994
p 2 0 473 447 2008 740
p 2 0 373 547 1726 642
p 2 12 534 374 11138 1069
p 2 0 492 428 2147 778
p 2 0 444 476 1810 706
p 2 5 569 346 11984 1063
p 2 0 518 402 2236 801
p 2 0 427 493 1679 672
p 2 13 534 373 12714 1114
p 2 0 408 512 1470 648
p 2 0 388 532 1256 600
p 2 16 502 402 13937 1127
p 2 0 471 449 1888 723
p 2 0 413 507 1496 639
p 2 96 506 318 20411 1644
p 2 0 459 461 1891 728
p 2 0 419 501 1618 666
p 2 103 511 306 21810 1730
p 2 0 509 411 1969 765
p 2 0 478 442 1974 725
p 2 103 541 276 21281 1742
p 2 0 515 405 1956 785
p 2 0 480 440 1673 721
p 2 0 429 491 1585 659
p 2 18 612 290 16665 1407
p 2 0 522 398 2033 836
p 2 0 439 481 1471 666
p 2 0 379 541 1048 582
p 2 27 566 327 16837 1371
p 2 0 495 425 1674 737
p 2 0 394 526 1317 610
p 2 0 364 556 1279 582
p 2 4 608 308 13738 1192
p 2 0 486 434 1835 739
p 2 0 404 516 1368 630
p 2 2 589 329 11345 1073
p 2 0 495 425 1877 746
p 2 0 411 509 1431 635
p 2 0 605 315 11967 1100
p 2 0 522 398 1931 764
p 2 0 421 499 1572 656
p 2 0 370 550 1372 591
p 2 0 336 584 1319 558
p 2 0 335 585 1394 564
p 2 0 326 594 1148 538
p 2 0 223 697 796 429
p 2 0 271 649 969 476
p 2 0 228 692 955 446
p 2 0 278 642 1081 495
p 2 0 234 686 1001 458
p 2 0 236 684 1057 448
p 2 0 246 674 1091 471
p 2 0 258 662 1174 486
p 2 0 273 647 1172 497
p 2 0 275 645 1147 502
p 2 0 243 677 1198 474
p 2 0 254 666 1188 486
p 2 0 233 687 1163 470
p 2 0 265 655 1187 497
p 2 0 245 675 1222 483
p 2 0 248 672 1190 492
p 2 0 274 646 1262 504
p 2 0 220 700 1031 435
p 2 0 230 690 818 440
p 2 0 191 729 816 405
p 2 0 233 687 889 441
p 2 0 216 704 931 431
p 2 0 215 705 955 436
p 2 0 217 703 1000 429
p 2 0 223 697 1037 448
p 2 0 228 692 1061 452
p 2 0 232 688 1130 461
p 2 0 217 703 1103 450
p 2 0 237 683 1155 468
p 2 0 220 700 1134 455
p 2 0 264 656 1248 492
p 2 0 242 678 1216 482
p 2 0 241 679 1163 476
p 2 0 242 678 1165 469
p 2 0 221 699 1192 451
p 2 0 247 673 1025 470
p 2 0 179 741 685 390
p 2 0 192 728 799 399
p 2 0 199 721 880 412
p 2 0 199 721 1002 419
p 2 0 199 721 915 418
p 2 0 205 715 1016 429
