# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 42798 4013
p 2 7 884 29 12816 1340
p 2 0 912 8 13619 1308
p 2 3 908 9 14937 1312
p 2 0 907 13 8906 1165
p 2 0 915 5 9759 1188
p 2 0 904 16 11965 1201
p 2 0 917 3 15273 1254
p 2 0 914 6 16186 1288
p 2 0 912 8 14754 1269
p 2 0 904 16 13994 1250
p 2 0 908 12 13244 1232
p 2 0 890 30 12593 1215
p 2 0 908 12 11809 1208
p 2 0 912 8 10907 1229
p 2 3 905 12 12341 1261
p 2 2 901 17 12434 1229
p 2 2 909 9 13026 1252
p 2 7 906 7 16411 1328
p 2 0 914 6 13132 1205
p 2 0 907 13 13988 1219
p 2 1 895 24 19115 1329
p 2 0 893 27 15140 1260
p 2 1 886 33 14662 1268
p 2 1 875 44 22451 1342
p 2 0 879 41 16352 1262
p 2 1 875 44 18405 1269
p 2 3 890 27 19151 1287
p 2 1 881 38 20624 1319
p 2 0 887 33 20131 1318
p 2 0 891 29 21556 1318
p 2 0 896 24 20746 1313
p 2 0 881 39 22289 1309
p 2 0 878 42 21698 1361
p 2 0 875 45 21185 1283
p 2 0 913 7 20528 1314
p 2 8 902 10 30880 1522
p 2 3 911 6 18781 1284
p 2 8 908 4 26626 1438
p 2 0 918 2 10872 1120
p 2 7 908 5 25509 1392
p 2 0 910 10 10520 1149
p 2 4 914 2 31851 1502
p 2 0 918 2 13306 1247
p 2 0 913 7 17799 1299
p 2 0 911 9 19252 1321
p 2 0 916 4 20550 1329
p 2 0 917 3 20034 1389
p 2 1 919 0 20528 1398
p 2 0 913 7 18806 1321
p 2 0 918 2 18392 1303
p 2 0 912 8 16155 1268
p 2 1 913 6 13769 1262
p 2 0 918 2 11806 1261
p 2 2 911 7 10267 1275
p 2 0 909 11 14320 1303
p 2 0 896 24 18007 1353
p 2 0 915 5 18639 1358
p 2 0 915 5 18929 1342
p 2 0 907 13 18971 1313
p 2 18 886 16 24912 1530
p 2 0 915 5 13217 1220
p 2 1 918 1 9163 1190
p 2 4 907 9 18576 1374
p 2 0 917 3 17471 1324
p 2 0 869 51 19568 1322
p 2 2 897 21 24853 1473
p 2 1 871 48 18590 1350
p 2 0 872 48 13302 1273
p 2 0 877 43 8828 1255
p 2 0 865 55 12263 1266
p 2 1 878 41 17841 1301
p 2 1 862 57 19758 1339
p 2 1 893 26 19393 1320
p 2 0 875 45 9551 1158
p 2 0 889 31 5759 1115
p 2 0 876 44 16904 1270
p 2 0 881 39 18564 1336
p 2 1 874 45 20095 1335
p 2 0 887 33 8531 1233
p 2 0 875 45 12597 1277
p 2 1 882 37 17995 1349
p 2 0 877 43 19478 1315
p 2 0 881 39 5622 1132
p 2 2 865 53 14957 1253
p 2 0 857 63 17488 1265
p 2 0 859 61 14201 1226
p 2 2 838 80 11622 1197
p 2 0 828 92 18392 1233
p 2 0 715 205 11438 979
p 2 1 489 430 1997 660
p 2 0 323 597 809 471
p 2 0 125 795 369 300
p 2 0 147 773 1032 317
p 2 0 92 828 324 270
p 2 0 80 840 282 257
p 2 1 177 742 949 369
p 2 0 63 857 320 248
p 2 0 133 787 421 304
p 2 2 74 844 1066 282
p 2 0 58 862 278 239
p 2 0 19 901 232 213
p 2 1 45 874 820 255
p 2 0 19 901 234 211
p 2 0 14 906 226 208
p 2 0 22 898 890 219
p 2 0 13 907 233 209
p 2 0 15 905 230 209
p 2 1 20 899 733 230
p 2 0 12 908 228 206
p 2 0 6 914 209 201
p 2 0 7 913 459 213
p 2 0 8 912 221 204
p 2 0 3 917 209 200
p 2 1 12 907 742 218
p 2 0 16 904 218 208
p 2 0 2 918 201 199
p 2 0 8 912 881 208
p 2 0 5 915 215 202
p 2 0 2 918 202 199
p 2 1 7 912 570 223
p 2 0 8 912 226 203
p 2 0 4 916 215 201
p 2 2 4 914 886 219
p 2 0 5 915 216 201
p 2 0 0 920 197 197
p 2 1 5 914 758 219
p 2 0 3 917 206 199
p 2 0 5 915 207 201
p 2 0 8 912 867 209
p 2 0 15 905 250 210
p 2 0 5 915 208 201
p 2 35 166 719 13704 780
p 2 0 115 805 610 324
p 2 0 64 856 330 258
p 2 9 197 714 10526 611
p 2 1 126 793 1133 344
p 2 0 60 860 337 250
p 2 7 189 724 11355 601
p 2 0 113 807 621 321
p 2 0 54 866 316 248
p 2 0 19 901 234 214
p 2 0 21 899 247 215
p 2 0 22 898 239 218
p 2 0 38 882 308 234
p 2 0 21 899 239 215
p 2 0 9 911 221 206
p 2 0 17 903 231 212
p 2 0 5 915 213 202
p 2 0 33 887 297 228
p 2 0 17 903 241 211
p 2 0 20 900 262 217
p 2 0 8 912 218 204
p 2 0 4 916 203 200
p 2 0 2 918 204 199
p 2 0 1 919 199 198
p 2 0 1 919 203 199
p 2 0 1 919 198 198
p 2 0 1 919 203 198
p 2 0 1 919 199 198
p 2 0 2 918 207 200
p 2 0 1 919 203 198
p 2 0 3 917 204 200
p 2 0 2 918 208 200
p 2 0 2 918 205 199
p 2 0 2 918 206 199
p 2 0 3 917 203 200
p 2 0 1 919 199 198
p 2 0 1 919 198 198
p 2 0 1 919 198 198
p 2 0 4 916 214 200
p 2 0 2 918 201 199
p 2 0 1 919 199 198
p 2 0 0 920 197 197
p 2 0 0 920 197 197
p 2 0 0 920 197 197
p 2 0 0 920 197 197
p 2 0 0 920 197 197
p 2 0 0 920 197 197
p 2 0 0 920 197 197
p 2 0 1 919 199 198
p 2 0 0 920 197 197
p 2 0 0 920 197 197
p 2 0 0 920 197 197
p 2 0 0 920 197 197
p 2 0 0 920 197 197
p 2 0 0 920 197 197
p 2 0 0 920 197 197
p 2 0 0 920 197 197
p 2 0 0 920 197 197
p 2 0 0 920 197 197
p 2 0 0 920 197 197
i 2 920 0 0 19684 3512
p 2 607 313 0 37285 4044
p 2 479 441 0 49910 3794
p 2 418 502 0 63065 3704
p 2 392 528 0 75677 3756
p 2 378 542 0 86850 3723
p 2 363 557 0 92336 3671
p 2 23 887 10 76061 2311
p 2 24 894 2 75146 2284
p 2 16 892 12 73652 2220
p 2 13 904 3 76324 2247
p 2 47 867 6 83420 2536
p 2 51 866 3 86482 2574
p 2 70 845 5 87946 2694
p 2 59 861 0 88010 2712
p 2 54 865 1 86766 2676
p 2 43 875 2 87118 2588
p 2 20 893 7 84530 2384
p 2 17 900 3 85562 2359
p 2 19 901 0 83697 2420
p 2 22 898 0 87375 2438
p 2 33 885 2 86958 2489
p 2 35 881 4 88001 2498
p 2 13 906 1 89948 2417
p 2 15 903 2 86755 2390
p 2 12 908 0 82662 2346
p 2 13 906 1 81154 2331
p 2 12 908 0 81068 2291
p 2 11 909 0 79861 2272
p 2 17 902 1 80259 2279
p 2 13 907 0 79372 2272
p 2 25 895 0 80042 2305
p 2 19 900 1 78956 2253
p 2 22 897 1 77196 2258
p 2 12 908 0 78013 2286
p 2 29 891 0 82487 2398
p 2 30 890 0 86480 2536
p 2 31 889 0 90225 2657
p 2 41 879 0 87376 2676
p 2 38 882 0 87181 2619
p 2 44 876 0 88485 2695
p 2 44 876 0 87594 2652
p 2 30 890 0 84354 2574
p 2 32 887 1 80624 2462
p 2 34 885 1 80949 2445
p 2 27 893 0 83853 2557
p 2 37 883 0 87652 2648
p 2 46 874 0 89976 2730
p 2 51 869 0 89345 2758
p 2 52 868 0 86974 2729
p 2 61 859 0 88820 2860
p 2 84 836 0 91459 2954
p 2 84 836 0 91229 2930
p 2 96 824 0 91567 2947
p 2 61 859 0 87454 2756
p 2 68 852 0 86278 2829
p 2 75 845 0 83975 2805
p 2 61 859 0 85495 2738
p 2 45 875 0 85420 2604
p 2 33 887 0 81551 2546
p 2 48 872 0 78731 2615
p 2 43 876 1 77573 2560
p 2 32 888 0 79254 2568
p 2 41 879 0 80245 2671
p 2 33 887 0 78227 2573
p 2 46 871 3 74079 2674
p 2 53 867 0 71218 2678
p 2 61 859 0 65245 2684
p 2 52 866 2 58069 2578
p 2 36 880 4 52996 2459
p 2 37 882 1 54195 2485
p 2 53 861 6 55228 2611
p 2 56 864 0 55444 2600
p 2 63 844 13 52360 2562
p 2 55 865 0 51958 2555
p 2 43 858 19 53736 2552
p 2 41 879 0 53641 2508
p 2 43 855 22 51322 2476
p 2 32 885 3 50960 2446
